15
0.06;0,61,94,34,4,5,6,7,8,9,10,11,12,13,14,85,16,17,58,19,37,21,22,23,24,25,86,80,70,81,30,31,32,49,3,35,36,20,38,69,1,41,42,43,44,82,46,55,48,72,57,51,52,99,64,47,56,50,18,59,60,40,73,63,95,65,66,92,68,39,28,71,33,76,74,75,62,77,91,45,27,29,79,83,88,53,26,54,84,89,90,78,96,93,2,87,67,98,97,15
0.12;0,61,88,34,4,7,6,5,60,9,10,11,12,92,14,87,16,17,58,19,37,24,22,23,21,26,86,80,70,75,30,67,32,85,3,35,36,77,56,69,1,52,42,39,44,82,18,55,59,72,57,51,41,93,64,29,99,50,46,48,8,40,73,63,95,65,66,13,68,43,81,97,33,76,74,28,90,15,91,2,53,47,79,31,94,27,25,54,84,71,62,83,96,49,45,78,38,98,89,20
0.19;0,61,18,80,4,7,6,5,60,9,81,11,12,92,14,37,63,17,58,19,87,57,22,23,21,26,86,34,70,94,30,67,32,85,54,35,36,44,29,69,1,52,42,93,43,24,65,55,59,72,82,28,41,39,64,56,10,50,46,48,8,40,73,68,78,88,79,49,16,77,99,97,89,2,74,51,90,25,91,76,53,47,66,31,62,27,96,3,84,71,45,38,13,15,75,95,98,20,33,83
0.25;0,81,18,80,4,7,6,68,60,9,38,89,27,92,14,37,63,17,57,19,87,58,5,23,21,33,86,34,70,73,30,67,32,49,54,35,82,44,29,51,77,95,42,93,43,97,65,11,24,72,36,31,39,83,76,56,3,50,28,48,8,40,94,22,78,45,79,85,16,1,99,59,55,2,74,69,90,10,91,96,53,47,66,46,62,12,13,25,84,71,88,61,64,20,75,52,15,26,98,41
0.31;0,35,18,80,68,22,6,10,60,9,38,89,27,92,14,8,63,50,61,19,87,58,5,23,43,45,62,34,91,73,78,15,32,49,54,84,36,79,93,51,77,95,83,1,21,97,65,11,24,72,82,31,39,42,53,56,3,17,37,48,28,40,94,2,30,33,44,85,29,16,99,90,55,7,74,69,25,4,70,96,76,47,59,46,86,12,13,66,98,71,88,57,75,20,64,52,67,81,41,26
0.38;88,49,97,61,68,46,6,52,60,85,38,57,27,92,25,8,63,50,80,19,87,34,5,23,40,45,62,58,91,73,78,35,32,17,54,84,36,79,47,70,89,2,51,1,21,18,65,11,53,72,82,31,39,26,24,59,7,15,37,48,33,43,94,95,30,28,44,9,29,16,99,90,55,3,0,69,14,4,83,20,76,93,77,22,86,10,13,41,98,71,74,56,75,64,96,12,67,42,66,81
0.44;72,49,97,61,36,46,6,52,60,70,38,57,27,92,25,68,75,50,80,19,87,34,5,23,40,67,62,73,91,58,78,42,32,17,54,84,8,79,47,85,89,2,51,31,21,18,65,12,64,29,93,1,45,24,83,59,7,15,66,77,33,43,94,95,30,28,44,9,88,20,99,37,35,16,0,3,14,4,26,69,76,82,55,41,56,10,13,22,98,48,74,86,63,11,96,39,90,71,53,81
0.5;72,49,97,40,36,3,6,52,60,88,38,57,27,92,35,68,75,50,80,19,87,34,15,23,61,67,45,73,81,71,64,99,32,17,54,84,8,79,47,85,89,2,51,31,21,77,76,12,78,29,93,9,62,24,83,91,11,5,66,18,33,43,94,95,30,41,56,1,70,20,10,37,55,16,0,63,53,4,26,69,65,7,25,28,90,42,59,46,74,82,98,86,96,48,22,39,44,13,58,14
0.56;72,49,97,40,17,3,6,52,57,88,38,5,27,92,35,67,75,50,18,19,87,34,15,23,61,74,45,63,81,71,64,31,47,36,54,93,37,79,32,53,89,2,51,95,21,68,76,12,78,66,84,9,14,24,83,91,11,60,29,80,30,43,85,99,33,41,56,1,70,7,59,8,44,16,0,73,82,4,39,69,65,20,25,28,90,42,62,46,77,55,98,86,48,96,26,10,13,22,58,94
0.62;72,50,97,40,92,3,6,52,57,88,38,64,27,17,33,67,47,69,1,86,87,34,15,23,61,74,16,63,22,44,5,31,81,77,54,93,53,79,32,9,89,2,51,95,21,68,76,12,78,66,59,37,91,24,83,80,11,60,29,30,14,43,85,19,35,99,56,18,39,7,65,8,71,45,0,73,82,4,70,49,42,20,25,62,90,84,58,46,36,55,98,10,48,96,26,75,13,94,41,28
0.69;72,14,97,40,51,3,6,52,16,88,93,64,27,83,33,48,47,69,1,86,37,34,15,45,61,31,57,53,65,44,5,74,81,77,54,38,63,36,32,9,89,2,92,60,12,68,76,21,78,66,59,87,91,24,41,94,11,95,29,28,46,43,85,4,35,18,55,99,10,39,22,8,71,23,84,75,82,19,67,79,42,20,25,62,80,0,58,50,49,56,98,26,70,96,73,7,13,90,17,30
0.75;72,83,25,40,51,54,6,10,16,88,94,64,27,14,33,48,74,31,1,86,66,34,15,45,61,69,57,53,5,44,65,47,55,77,46,38,63,79,32,90,89,2,92,60,9,68,76,21,78,37,59,87,91,20,41,82,49,95,29,67,3,43,85,4,35,18,13,99,52,39,22,50,71,23,84,75,93,19,17,36,42,26,97,62,28,70,58,8,11,73,7,24,12,96,0,80,81,98,56,30
0.81;55,83,25,40,51,54,6,10,3,88,37,42,27,14,43,60,74,31,85,29,66,72,15,45,70,69,73,53,5,97,65,47,34,77,86,38,63,79,32,90,89,2,75,48,9,52,46,21,78,11,59,30,91,20,41,99,49,95,1,67,16,33,76,4,35,18,13,82,68,39,22,50,71,23,8,92,93,81,17,36,84,26,28,62,44,61,98,80,94,64,87,24,7,96,0,57,12,58,56,19
0.88;55,9,25,40,51,54,11,93,85,88,27,42,37,98,43,35,74,31,5,18,66,72,59,45,70,69,73,53,3,95,65,47,34,77,86,38,15,79,32,90,89,75,2,60,83,52,13,21,61,6,63,30,91,20,41,67,71,97,1,99,16,84,76,4,48,29,0,82,68,92,22,50,49,23,8,14,10,81,28,36,33,26,17,62,58,78,39,80,94,7,19,87,64,56,46,24,12,44,57,96
0.94;89,65,25,74,51,29,11,43,58,49,42,27,37,98,93,35,40,31,5,79,66,72,8,45,70,69,73,53,3,95,9,47,34,77,86,38,78,18,32,56,55,75,12,60,83,52,76,26,90,6,48,67,82,20,41,30,36,97,1,99,16,84,94,4,80,33,0,91,68,19,22,50,46,23,59,14,10,39,28,71,15,21,17,62,85,54,81,63,13,7,44,57,64,61,88,24,2,92,96,87
