15
0.06;0,1,2,3,4,29,6,11,37,9,10,83,34,74,14,32,41,17,18,19,20,24,22,57,21,66,98,35,28,5,69,31,42,36,63,27,33,82,38,39,51,40,15,84,92,45,91,47,48,53,50,16,52,49,54,55,56,23,58,59,60,61,62,12,78,65,25,67,86,30,70,71,72,73,13,75,76,77,64,79,80,81,85,7,43,95,68,89,88,87,90,46,44,93,94,97,96,8,26,99
0.12;58,31,2,34,20,1,6,72,37,9,10,12,7,74,8,32,41,17,64,16,28,24,22,45,21,66,67,82,4,5,69,15,42,36,63,92,33,86,38,83,51,40,29,93,75,61,91,79,48,53,50,19,54,89,52,55,56,23,0,59,60,57,62,13,78,65,25,98,35,30,80,73,11,95,39,27,76,77,18,47,70,81,85,3,43,71,68,49,88,87,14,46,44,84,94,97,96,90,26,99
0.19;58,49,85,34,20,30,6,72,37,9,84,44,8,71,7,94,3,17,64,16,99,24,22,10,21,32,40,82,89,5,26,15,87,36,63,81,76,86,79,83,51,67,29,93,75,61,91,38,48,35,50,14,54,4,52,19,45,31,0,41,96,57,62,13,78,65,25,98,53,42,80,73,11,39,90,27,33,77,18,47,59,92,2,70,43,74,68,23,88,1,55,46,12,56,66,97,60,95,69,28
0.25;87,49,85,57,20,8,6,72,37,27,84,0,94,43,7,30,2,17,64,16,50,24,22,10,40,32,13,35,89,45,26,15,58,78,63,81,83,86,29,76,51,31,79,93,75,59,91,44,48,82,99,14,25,4,54,19,5,67,38,41,12,34,62,61,36,52,65,98,53,42,55,46,11,39,90,9,33,1,71,47,21,92,3,70,18,74,68,23,88,77,80,28,96,56,66,95,60,97,69,73
0.31;75,63,85,57,20,82,6,72,37,27,84,0,94,43,86,30,87,90,54,32,50,24,22,10,40,16,4,11,49,45,26,15,58,78,47,81,74,7,29,76,70,31,14,93,46,59,91,44,67,8,55,83,25,13,73,19,35,48,36,12,41,71,62,61,60,33,65,89,53,3,99,2,5,39,17,9,52,1,34,23,21,92,42,51,18,56,68,98,88,77,80,28,96,79,66,95,38,97,69,64
0.38;75,37,85,57,18,82,6,72,54,27,84,0,91,94,86,30,87,15,63,32,50,24,5,10,70,16,4,11,38,45,49,90,46,78,79,88,60,7,95,20,40,31,14,93,34,59,43,44,67,77,55,92,25,13,73,19,35,48,97,33,41,71,62,81,29,74,65,89,98,3,99,66,22,39,17,9,52,36,58,23,21,83,47,26,76,56,68,53,61,8,80,28,96,69,2,12,51,1,42,64
0.44;60,37,11,57,77,82,27,72,7,24,85,0,20,94,86,30,87,15,63,3,50,6,13,10,70,36,40,84,38,45,64,55,46,78,79,88,2,54,47,91,4,31,14,59,34,93,8,44,67,75,90,92,25,5,61,19,42,48,76,1,16,71,62,81,29,41,65,89,33,32,99,66,22,39,17,9,52,74,58,23,49,43,95,26,97,51,68,53,28,83,80,73,96,69,18,12,56,98,35,21
0.5;60,96,93,27,77,29,57,72,19,42,85,0,20,40,6,26,87,15,63,62,64,86,41,89,70,46,94,84,38,45,50,55,9,78,79,88,2,54,36,91,4,31,8,59,34,25,14,74,13,3,90,92,71,5,51,7,24,32,76,95,16,11,39,81,82,67,65,10,33,48,99,66,22,97,44,47,52,17,58,23,49,43,35,30,75,61,68,53,28,83,80,73,37,18,69,12,56,98,1,21
0.56;92,96,93,27,77,29,44,72,15,1,22,0,56,73,34,26,87,8,63,5,98,81,62,50,70,46,94,60,38,49,89,57,9,78,40,32,2,54,36,91,4,95,19,99,6,25,14,23,13,3,90,84,71,41,51,7,24,88,76,31,55,11,61,86,82,67,65,10,33,68,59,52,85,97,48,53,66,17,58,74,45,43,16,30,75,39,35,47,28,83,80,79,42,18,69,12,20,64,37,21
0.62;48,96,86,27,83,29,44,72,78,70,22,0,94,73,34,26,87,71,63,5,98,50,62,81,4,59,88,60,38,49,53,57,41,68,6,8,10,42,1,91,36,95,19,24,40,25,11,21,13,97,90,84,32,9,51,7,99,47,55,28,76,14,61,93,77,67,58,2,33,15,46,52,85,3,92,79,66,17,65,74,45,43,16,30,75,39,37,56,31,82,80,89,54,18,69,12,20,64,35,23
