10
0.0909;2,6,15,18,1,4,19,14,12,10,7,3,13,5,11,16,17,9,8,0
0.1818;0,13,11,4,3,15,16,5,6,1,10,17,8,12,19,7,2,14,18,9
0.2727;12,3,0,8,9,2,6,1,17,19,13,15,16,7,11,4,14,10,5,18
0.3636;5,12,15,10,17,1,7,19,14,8,9,6,3,18,16,13,2,0,4,11
0.4545;2,13,12,7,4,11,16,5,10,18,1,17,0,14,3,8,6,9,15,19
0.5455;3,6,14,16,17,2,1,0,18,7,4,13,12,15,19,11,8,10,9,5
0.6364;17,14,2,13,12,7,9,16,1,15,19,10,8,5,6,4,18,3,11,0
0.7273;0,7,13,9,6,17,5,10,12,3,8,19,2,11,4,16,15,14,18,1
0.8182;1,13,8,5,2,4,19,3,14,9,6,15,10,17,0,18,11,7,12,16
0.9091;11,14,9,13,3,8,12,17,6,5,15,16,0,10,7,19,18,1,4,2
